Planet_Name,Planet_Radius,Planet_Mass,Orbital_Period,Semi_Major_Axis,Equilibrium_Temp,Planet_Density,Stellar_Temp,Stellar_Luminosity,Stellar_Metallicity,Stellar_Flux,Habitability_Score_Index,Stellar_Compatibility_Index,Orbital_Stability_Factor,StarType_A,StarType_F,StarType_G,StarType_K,StarType_M,Target_Habitable
CoRoT-6 b,13.068,733.625075,8.886593,0.0855,1017.0,2.32,6090.0,0.9413067829119811,-0.2,128.74772206011025,0.09889627955063572,0.9786002937044377,0.02356945964234724,False,True,False,False,False,0
CoRoT-9 b,11.948794,266.9772,22.733983275,0.16794,420.0,0.86,5625.0,0.9413067829119811,-0.01,33.37394088269226,0.1940871829210666,0.9948115069707631,0.08727141613127988,False,False,False,True,False,1
EPIC 201595106 b,1.565,7.67,0.87724,0.0177,2038.0,6.840423374999999,5679.0,0.8929970002260261,0.01,2841.315346418995,0.05140882901393923,0.9978243701209799,0.014561787566509842,False,False,False,True,False,0
EPIC 220674823 b,1.676,7.8,0.5713127,0.01314,2299.0,6.840423374999999,5578.0,0.9413067829119811,-0.005,5420.413169856322,0.03944837731732414,0.9911505004882849,0.02301263489547233,False,False,False,True,False,0
EPIC 220674823 c,2.84,7.32,13.33989,0.1073,804.0,1.72,5578.0,0.9413067829119811,-0.005,81.75117900556448,0.1879539572581202,0.9911505004882849,0.033298935462093476,False,False,False,True,False,1
EPIC 229004835 b,2.332,10.4,16.141132,0.1237,804.0,4.49,5868.0,0.9413067829119811,-0.12,61.51250420102485,0.21636947051489572,0.9982016190284373,0.013571371159907988,False,False,False,True,False,1
EPIC 246851721 b,11.780659,733.625075,6.180235,0.07229,1401.0,3.1,6202.0,1.9784731875085524,0.141,378.5215609374216,0.06551705606621408,0.9608372663058714,0.12003898430386797,False,True,False,False,False,0
EPIC 249893012 b,1.95,8.75,3.5951,0.047,1616.0,6.39,5430.0,0.9413067829119811,0.2,425.9306710008964,0.09867611738103016,0.9734469010825562,0.029755328752150013,False,False,True,False,False,0
EPIC 249893012 c,3.67,14.67,15.624,0.13,990.0,1.62,5430.0,0.9413067829119811,0.2,55.69533062611567,0.18953779155269843,0.9734469010825562,0.07938639645604238,False,False,True,False,False,1
EPIC 249893012 d,3.94,10.18,22.733983275,0.16794,752.0,0.91,5430.0,0.9413067829119811,0.2,33.37394088269226,0.23541327741477894,0.9734469010825562,0.08727141613127988,False,False,True,False,False,1
G 9-40 b,1.9,4.0,5.7459982,0.0418,440.6,3.2,3395.0,0.01095998601533683,-0.07,6.2691541294884185,0.5313375116133897,0.28310685052971823,0.5258668891244322,False,False,False,True,False,1
GJ 1132 b,1.19151465,1.83704819,1.62892911,0.0157,583.8,5.97,3324.375,0.004770017803572017,-0.17,19.273577936773272,0.3903584728595703,0.2624121207096917,0.6324086775383954,False,False,False,True,False,1
GJ 1214 b,2.733,8.41,1.580404531,0.01505,567.0,2.26,3324.375,0.00389995862874433,0.24,17.142486912206813,0.3413924014344557,0.2624121207096917,0.6506280348586272,False,False,False,True,False,1
GJ 143 b,2.61,22.7,22.733983275,0.16794,422.0,6.840423374999999,4640.0,0.20596811765973644,0.003,7.302579676766455,0.47661527550444416,0.7499208918445293,0.08727141613127988,False,False,False,True,False,1
GJ 3090 b,2.18,4.52,2.85310198,0.0316,723.0,2.4,3707.0,0.04549985367579124,0.12,45.519882424057826,0.24882185888071284,0.38553618617640123,0.2799030148401634,False,False,False,False,True,1
GJ 3470 b,4.57,13.9,3.3366496,0.0355,593.5,0.8,3600.0,0.9413067829119811,0.2,746.3284700986967,0.08563102552182135,0.3484878197132323,0.26632841736134505,False,False,False,True,False,0
GJ 3473 b,1.264,1.86,1.1980035,0.01589,773.0,5.03,3347.0,0.014999956513820394,0.11,59.17327014853872,0.25166859123788404,0.268936436666552,0.3703176032041895,False,False,False,True,False,1
GJ 367 b,0.699,0.633,0.3219225,0.00709,1365.0,6.840423374999999,3522.0,0.028900143553494708,-0.01,563.7061555527649,0.10051332322384085,0.32270780295588314,0.11725618135582594,False,False,False,False,True,1
GJ 3929 b,1.09,1.75,2.616235,0.0252,568.0,6.840423374999999,3384.0,0.010900087895662278,-0.02,17.13742515511961,0.41409081444101586,0.2798202069764939,0.4880305533788536,False,False,False,True,False,1
GJ 414 A b,2.63,7.6,22.733983275,0.16794,308.6,1.42,4120.0,0.11900083260453191,0.24,4.219163002362187,0.5885236412340563,0.5428724480799696,0.08727141613127988,False,False,False,True,False,1
GJ 414 A c,8.4,53.83,22.733983275,0.16794,124.7,1.42,4120.0,0.11900083260453191,0.24,4.219163002362187,0.36660446697464716,0.5428724480799696,0.08727141613127988,False,False,False,True,False,1
GJ 486 b,1.289,2.77,1.46712127,0.01714,696.3,6.66,3324.375,0.01151012393735847,-0.15,39.0465416784556,0.2944747487085952,0.2624121207096917,0.45316294368155025,False,False,False,True,False,1
GJ 806 b,1.331,1.9,0.9263237,0.01406,940.0,4.4,3600.0,0.025984837186298976,-0.28,130.7850128863126,0.18279259725978697,0.3484878197132323,0.2936784241484361,False,False,False,False,True,1
GJ 9827 b,1.44,4.28,1.208974,0.0189,1035.01,6.840423374999999,4236.0,0.9413067829119811,-0.29,2627.8071045252254,0.06475255865111834,0.5895522078449806,0.18821442562971738,False,False,False,True,False,0
GJ 9827 c,1.13,1.86,3.648103,0.0395,715.94,6.840423374999999,4236.0,0.9413067829119811,-0.29,602.9186760044715,0.12128456948617591,0.5895522078449806,0.20650393435976433,False,False,False,True,False,1
