smote_strategy,auprc,f1_score,opt_threshold,n_estimators,max_depth,learning_rate,subsample,colsample_bytree
0.25,0.35,0.5,0.9998319,200,4,0.05,0.8,0.9
0.2,0.35,0.5,0.99974877,200,3,0.05,0.8,0.8
0.2,0.35,0.5,0.99848396,100,4,0.05,0.8,0.8
0.15,0.34090909090909094,0.5,0.99972826,200,5,0.05,0.8,0.9
0.15,0.34090909090909094,0.5,0.9997162,200,4,0.05,0.8,0.9
0.25,0.34090909090909094,0.5,0.99981123,200,4,0.05,0.9,0.9
0.15,0.34090909090909094,0.5,0.99976987,200,4,0.05,0.9,0.8
0.15,0.34090909090909094,0.5,0.9996892,200,4,0.05,0.9,0.9
0.15,0.3333333333333333,0.5,0.979736,100,4,0.02,0.9,0.8
0.15,0.3333333333333333,0.5,0.9797825,100,4,0.02,0.9,0.9
0.25,0.3333333333333333,0.5,0.996932,200,5,0.02,0.8,0.9
0.2,0.3333333333333333,0.5,0.9810372,100,5,0.02,0.9,0.9
0.15,0.3333333333333333,0.5,0.9958099,200,4,0.02,0.8,0.8
0.25,0.3333333333333333,0.5,0.9810941,100,4,0.02,0.8,0.8
0.25,0.3333333333333333,0.5,0.9984586,100,3,0.05,0.8,0.8
0.25,0.3333333333333333,0.5,0.981114,100,4,0.02,0.8,0.9
0.15,0.3333333333333333,0.5,0.9801067,100,5,0.02,0.9,0.9
0.15,0.3333333333333333,0.5,0.9997062,200,5,0.05,0.9,0.9
0.25,0.3333333333333333,0.5,0.9811385,100,4,0.02,0.9,0.9
0.25,0.3333333333333333,0.5,0.98145354,100,5,0.02,0.8,0.9
0.25,0.3333333333333333,0.5,0.9984497,100,3,0.05,0.9,0.8
0.25,0.3333333333333333,0.5,0.9811369,100,4,0.02,0.9,0.8
0.25,0.325,0.5714285714285714,0.9986142,100,4,0.05,0.9,0.9
0.25,0.325,0.5714285714285714,0.9969029,200,4,0.02,0.9,0.9
0.15,0.325,0.5714285714285714,0.9800903,100,5,0.02,0.9,0.8
0.25,0.325,0.5714285714285714,0.9814874,100,5,0.02,0.9,0.8
0.15,0.30952380952380953,0.4444444444444444,0.9960074,200,4,0.02,0.9,0.8
0.25,0.30952380952380953,0.4444444444444444,0.9982969,100,4,0.05,0.8,0.8
0.25,0.30952380952380953,0.4444444444444444,0.99827325,100,5,0.05,0.8,0.8
0.25,0.30952380952380953,0.4444444444444444,0.9969331,200,5,0.02,0.9,0.9
0.15,0.30952380952380953,0.4444444444444444,0.99615425,200,4,0.02,0.8,0.9
0.2,0.30952380952380953,0.4444444444444444,0.99674404,200,5,0.02,0.8,0.9
0.25,0.30952380952380953,0.4444444444444444,0.998166,100,5,0.05,0.9,0.8
0.2,0.29166666666666663,0.4,0.99810576,100,5,0.05,0.9,0.8
0.2,0.29166666666666663,0.4,0.9983456,100,4,0.05,0.9,0.8
0.15,0.29166666666666663,0.4,0.9965384,100,4,0.05,0.9,0.9
0.25,0.2777777777777778,0.4,0.9997876,200,4,0.05,0.9,0.8
0.25,0.2777777777777778,0.4,0.99972874,200,5,0.05,0.9,0.9
