planet_name,host_star_name,habitability_prob
HD 5319 c,HD 5319,0.1072
Kepler-1755 b,Kepler-1755,0.1069
HD 31527 d,HD 31527,0.1069
Kepler-414 b,Kepler-414,0.1067
Kepler-1083 b,Kepler-1083,0.1066
HD 96700 c,HD 96700,0.1064
Kepler-389 c,Kepler-389,0.1064
Kepler-36 c,Kepler-36,0.1063
BD+20 594 b,BD+20 594,0.1061
Kepler-57 c,Kepler-57,0.106
Kepler-1234 b,Kepler-1234,0.1059
Kepler-815 b,Kepler-815,0.1057
HAT-P-26 b,HAT-P-26,0.1054
Kepler-1284 b,Kepler-1284,0.1053
Kepler-1753 b,Kepler-1753,0.1053
Kepler-954 b,Kepler-954,0.1053
Kepler-1309 b,Kepler-1309,0.1051
HD 96700 b,HD 96700,0.105
WASP-77 A b,WASP-77 A,0.105
HD 51608 b,HD 51608,0.105
Kepler-258 c,Kepler-258,0.105
KMT-2023-BLG-0735L b,KMT-2023-BLG-0735L,0.1048
K2-170 c,K2-170,0.1046
Kepler-1014 b,Kepler-1014,0.1045
Kepler-861 b,Kepler-861,0.1044
Kepler-1043 b,Kepler-1043,0.1041
KOI-1599.01,KOI-1599,0.104
Kepler-971 b,Kepler-971,0.104
Kepler-1570 b,Kepler-1570,0.1038
Kepler-951 b,Kepler-951,0.1037
Kepler-599 b,Kepler-599,0.1037
Kepler-46 d,Kepler-46,0.1036
Kepler-1090 b,Kepler-1090,0.1035
Kepler-191 c,Kepler-191,0.1035
Kepler-742 b,Kepler-742,0.1033
HD 79181 b,HD 79181,0.1033
MOA-2011-BLG-262L b,MOA-2011-BLG-262L,0.1032
OGLE-2019-BLG-1492L b,OGLE-2019-BLG-1492L,0.1031
Kepler-668 b,Kepler-668,0.103
Kepler-751 b,Kepler-751,0.103
HD 30856 b,HD 30856,0.103
HD 31527 c,HD 31527,0.1029
Kepler-1467 b,Kepler-1467,0.1029
Kepler-1245 b,Kepler-1245,0.1027
Kepler-1512 b,Kepler-1512,0.1026
KMT-2021-BLG-0912L b,KMT-2021-BLG-0912L,0.1026
Kepler-975 b,Kepler-975,0.1026
Kepler-1627 b,Kepler-1627,0.1026
Kepler-166 d,Kepler-166,0.1025
Kepler-132 e,Kepler-132,0.1024
Kepler-1245 c,Kepler-1245,0.1023
Kepler-907 b,Kepler-907,0.1021
Kepler-989 b,Kepler-989,0.1021
Kepler-1357 b,Kepler-1357,0.1019
NGC 2682 Sand 978 b,NGC 2682 Sand 978,0.1015
Kepler-250 c,Kepler-250,0.1012
Kepler-478 b,Kepler-478,0.1012
Kepler-479 b,Kepler-479,0.1011
Kepler-1806 b,Kepler-1806,0.1011
Kepler-726 b,Kepler-726,0.1009
Kepler-245 b,Kepler-245,0.1009
Kepler-1206 b,Kepler-1206,0.1008
HD 31527 b,HD 31527,0.1007
OGLE-2012-BLG-0950L b,OGLE-2012-BLG-0950L,0.1006
EPIC 212424622 b,EPIC 212424622,0.1006
Kepler-384 c,Kepler-384,0.1003
Kepler-921 b,Kepler-921,0.1003
Kepler-932 b,Kepler-932,0.1002
HD 95089 b,HD 95089,0.1002
Kepler-152 b,Kepler-152,0.1001
Kepler-10 d,Kepler-10,0.1001
Kepler-179 b,Kepler-179,0.1001
KOI-351 g,KOI-351,0.0998
KELT-6 c,KELT-6,0.0997
HD 98219 b,HD 98219,0.0996
Kepler-1013 b,Kepler-1013,0.0996
Kepler-1400 b,Kepler-1400,0.0996
Kepler-1846 b,Kepler-1846,0.0995
HD 290327 b,HD 290327,0.0995
HD 10442 b,HD 10442,0.0993
Kepler-968 c,Kepler-968,0.0992
Kepler-882 b,Kepler-882,0.0987
Kepler-289 e,Kepler-289,0.0986
Kepler-165 c,Kepler-165,0.0984
Kepler-1575 b,Kepler-1575,0.0983
Kepler-1754 b,Kepler-1754,0.0982
Kepler-764 b,Kepler-764,0.0981
Kepler-712 b,Kepler-712,0.0979
Kepler-776 b,Kepler-776,0.0979
Kepler-578 b,Kepler-578,0.0979
Kepler-946 b,Kepler-946,0.0977
Kepler-1125 b,Kepler-1125,0.0977
Kepler-1004 b,Kepler-1004,0.0976
Kepler-272 c,Kepler-272,0.0976
Kepler-260 b,Kepler-260,0.0974
OGLE-2018-BLG-0298L b,OGLE-2018-BLG-0298L,0.0973
Kepler-290 c,Kepler-290,0.0972
Kepler-1261 b,Kepler-1261,0.097
Kepler-496 b,Kepler-496,0.097
Kepler-947 b,Kepler-947,0.097
BD+15 2375 b,BD+15 2375,0.0968
UCAC3 113-933 b,UCAC3 113-933,0.0968
Kepler-832 b,Kepler-832,0.0966
KMT-2021-BLG-2294L b,KMT-2021-BLG-2294L,0.0966
HD 4313 b,HD 4313,0.0964
Kepler-484 b,Kepler-484,0.0964
Kepler-417 b,Kepler-417,0.0961
K2-172 b,K2-172,0.0961
Kepler-285 b,Kepler-285,0.096
HIP 5158 b,HIP 5158,0.0959
Kepler-148 b,Kepler-148,0.0959
Kepler-224 c,Kepler-224,0.0957
TCP J05074264+2447555 b,TCP J05074264+2447555,0.0957
Kepler-177 b,Kepler-177,0.0957
HD 1502 b,HD 1502,0.0955
HD 72490 b,HD 72490,0.0954
Kepler-357 d,Kepler-357,0.0954
Kepler-384 b,Kepler-384,0.095
Kepler-118 b,Kepler-118,0.095
HD 60532 c,HD 60532,0.0948
Kepler-1446 b,Kepler-1446,0.0947
Kepler-396 b,Kepler-396,0.0947
KMT-2023-BLG-0469L b,KMT-2023-BLG-0469L,0.0946
Kepler-1107 b,Kepler-1107,0.0946
K2-210 b,K2-210,0.0945
Kepler-1081 b,Kepler-1081,0.0945
Kepler-277 c,Kepler-277,0.0945
KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,0.0945
Kepler-711 b,Kepler-711,0.0944
Kepler-389 b,Kepler-389,0.0944
MOA-2020-BLG-208L b,MOA-2020-BLG-208L,0.0943
HD 18742 b,HD 18742,0.0943
HD 60532 b,HD 60532,0.0943
TOI-1798.01,TOI-1798,0.0943
HD 73534 b,HD 73534,0.0942
Kepler-245 d,Kepler-245,0.0942
KMT-2024-BLG-1044L b,KMT-2024-BLG-1044L,0.0942
Kepler-868 b,Kepler-868,0.0942
Kepler-279 d,Kepler-279,0.0942
HD 181342 b,HD 181342,0.094
HD 14787 b,HD 14787,0.0937
Kepler-841 b,Kepler-841,0.0936
MOA-2008-BLG-310L b,MOA-2008-BLG-310L,0.0932
MOA-2011-BLG-291L b,MOA-2011-BLG-291L,0.093
TYC 1422-614-1 c,TYC 1422-614-1,0.0928
Kepler-83 c,Kepler-83,0.0925
HD 180902 b,HD 180902,0.0924
Kepler-1539 b,Kepler-1539,0.0923
HD 95089 c,HD 95089,0.0922
HD 70573 b,HD 70573,0.0921
Kepler-725 c,Kepler-725,0.0919
K2-161 b,K2-161,0.0918
HD 147379 b,HD 147379,0.0918
Kepler-1021 b,Kepler-1021,0.0918
Kepler-716 b,Kepler-716,0.0916
Kepler-1619 b,Kepler-1619,0.0916
Kepler-165 b,Kepler-165,0.0914
HD 28678 b,HD 28678,0.0913
Kepler-1582 b,Kepler-1582,0.0913
Kepler-158 d,Kepler-158,0.0909
K2-187 b,K2-187,0.0907
Kepler-968 b,Kepler-968,0.0906
Kepler-399 c,Kepler-399,0.0906
Kepler-967 c,Kepler-967,0.0905
Kepler-1958 b,Kepler-1958,0.0905
Kepler-656 b,Kepler-656,0.0905
Kepler-1362 b,Kepler-1362,0.0904
Kepler-84 b,Kepler-84,0.0904
Kepler-282 b,Kepler-282,0.0902
KMT-2021-BLG-0320L b,KMT-2021-BLG-0320L,0.0902
Kepler-189 c,Kepler-189,0.0901
K2-58 d,K2-58,0.0899
Kepler-761 b,Kepler-761,0.0896
HD 102956 b,HD 102956,0.0896
Kepler-119 c,Kepler-119,0.0895
K2-179 b,K2-179,0.0893
KOI-7368 b,KOI-7368,0.0889
Kepler-246 b,Kepler-246,0.0889
HD 168746 b,HD 168746,0.0888
Kepler-1010 b,Kepler-1010,0.0887
Kepler-1490 b,Kepler-1490,0.0887
KOI-351 b,KOI-351,0.0887
KOI-351 c,KOI-351,0.0887
K2-80 c,K2-80,0.0886
Kepler-1045 b,Kepler-1045,0.0886
Kepler-1593 b,Kepler-1593,0.0885
TYC 1422-614-1 b,TYC 1422-614-1,0.0885
Kepler-532 b,Kepler-532,0.0884
HD 69830 d,HD 69830,0.0883
Kepler-84 c,Kepler-84,0.0882
HD 200964 b,HD 200964,0.0881
HD 75784 c,HD 75784,0.0879
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,0.0879
HD 47536 b,HD 47536,0.0879
Kepler-1520 b,Kepler-1520,0.0879
Kepler-179 c,Kepler-179,0.0879
Kepler-258 b,Kepler-258,0.0876
Kepler-295 c,Kepler-295,0.0875
Kepler-176 d,Kepler-176,0.0874
K2-187 c,K2-187,0.0873
Kepler-85 b,Kepler-85,0.0873
Kepler-81 c,Kepler-81,0.0872
Kepler-263 c,Kepler-263,0.0872
Kepler-85 c,Kepler-85,0.0868
HD 112570 b,HD 112570,0.0867
Kepler-1381 b,Kepler-1381,0.0867
Kepler-177 c,Kepler-177,0.0866
Kepler-1185 b,Kepler-1185,0.0866
Kepler-322 c,Kepler-322,0.0865
HD 200964 c,HD 200964,0.0865
Kepler-1320 b,Kepler-1320,0.0863
Kepler-646 b,Kepler-646,0.0863
Kepler-1162 b,Kepler-1162,0.0863
Kepler-121 c,Kepler-121,0.0862
OGLE-2017-BLG-0364L b,OGLE-2017-BLG-0364L,0.0861
HD 238914 b,HD 238914,0.0861
HD 212771 b,HD 212771,0.086
K2-390 b,K2-390,0.0858
HD 76920 b,HD 76920,0.0857
HD 175541 b,HD 175541,0.0855
Kepler-276 d,Kepler-276,0.0855
Kepler-19 c,Kepler-19,0.0855
HD 215152 b,HD 215152,0.0855
HD 15337 b,HD 15337,0.0853
EPIC 201427007 b,EPIC 201427007,0.0852
HD 64121 b,HD 64121,0.0851
HD 154345 b,HD 154345,0.0847
HD 69830 c,HD 69830,0.0847
KELT-6 b,KELT-6,0.0846
Kepler-1166 b,Kepler-1166,0.0846
Kepler-1847 b,Kepler-1847,0.0846
Kepler-957 b,Kepler-957,0.0846
Kepler-1506 b,Kepler-1506,0.0844
Kepler-1960 b,Kepler-1960,0.084
HD 564 b,HD 564,0.0839
Kepler-195 b,Kepler-195,0.0838
HD 96063 b,HD 96063,0.0838
K2-64 b,K2-64,0.0837
K2-372 b,K2-372,0.0837
Kepler-549 b,Kepler-549,0.0832
Kepler-226 d,Kepler-226,0.0831
Kepler-282 c,Kepler-282,0.0828
HD 69830 b,HD 69830,0.0828
K2-58 c,K2-58,0.0826
Kepler-243 b,Kepler-243,0.0826
Kepler-747 b,Kepler-747,0.0826
Kepler-1258 b,Kepler-1258,0.0825
Kepler-1132 b,Kepler-1132,0.0824
Kepler-1522 b,Kepler-1522,0.0823
Kepler-1489 c,Kepler-1489,0.0823
Kepler-782 b,Kepler-782,0.0818
Kepler-272 d,Kepler-272,0.0818
Kepler-253 c,Kepler-253,0.0818
Kepler-181 c,Kepler-181,0.0818
Kepler-1888 b,Kepler-1888,0.0817
Kepler-1796 b,Kepler-1796,0.0817
Kepler-1251 b,Kepler-1251,0.0817
Kepler-257 b,Kepler-257,0.0816
Kepler-1001 c,Kepler-1001,0.0816
Kepler-251 b,Kepler-251,0.0815
Kepler-826 b,Kepler-826,0.0814
Kepler-292 f,Kepler-292,0.0814
Kepler-1721 b,Kepler-1721,0.0813
TOI-2537 c,TOI-2537,0.0812
Kepler-295 b,Kepler-295,0.0812
HD 215152 c,HD 215152,0.0811
Kepler-92 b,Kepler-92,0.0809
Kepler-176 c,Kepler-176,0.0807
HD 192699 b,HD 192699,0.0807
HD 152581 b,HD 152581,0.0806
Kepler-295 d,Kepler-295,0.0805
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,0.0805
Kepler-925 b,Kepler-925,0.0804
Kepler-712 c,Kepler-712,0.0804
Kepler-922 b,Kepler-922,0.0804
Kepler-292 d,Kepler-292,0.0803
Kepler-933 b,Kepler-933,0.0802
Kepler-979 b,Kepler-979,0.08
Kepler-221 e,Kepler-221,0.08
Kepler-1829 b,Kepler-1829,0.08
Kepler-1454 b,Kepler-1454,0.0799
Kepler-1815 b,Kepler-1815,0.0797
Kepler-598 b,Kepler-598,0.0796
BD+05 4868 A b,BD+05 4868 A,0.0795
Kepler-350 d,Kepler-350,0.0793
K2-382 b,K2-382,0.0793
Kepler-1869 b,Kepler-1869,0.0793
Kepler-81 b,Kepler-81,0.0792
Kepler-785 b,Kepler-785,0.0792
Kepler-519 b,Kepler-519,0.079
Kepler-942 b,Kepler-942,0.079
HD 15337 c,HD 15337,0.0789
Kepler-414 c,Kepler-414,0.0788
Kepler-1071 b,Kepler-1071,0.0787
Kepler-587 b,Kepler-587,0.0787
Kepler-499 b,Kepler-499,0.0786
Kepler-339 d,Kepler-339,0.0785
Kepler-150 b,Kepler-150,0.0785
Kepler-106 e,Kepler-106,0.0785
KMT-2021-BLG-1372L b,KMT-2021-BLG-1372L,0.0784
Kepler-1797 b,Kepler-1797,0.0784
Kepler-1437 b,Kepler-1437,0.0783
Kepler-176 e,Kepler-176,0.0783
K2-195 c,K2-195,0.0783
Kepler-1302 b,Kepler-1302,0.0783
Kepler-11 f,Kepler-11,0.0782
Kepler-1038 b,Kepler-1038,0.0782
Kepler-363 b,Kepler-363,0.0781
Kepler-324 c,Kepler-324,0.078
Kepler-276 c,Kepler-276,0.078
Kepler-106 c,Kepler-106,0.0775
Kepler-549 c,Kepler-549,0.0774
OGLE-2013-BLG-0132L b,OGLE-2013-BLG-0132L,0.0774
Kepler-218 b,Kepler-218,0.0771
Kepler-397 b,Kepler-397,0.077
Kepler-339 c,Kepler-339,0.077
Kepler-1425 b,Kepler-1425,0.0769
Kepler-495 b,Kepler-495,0.0768
Kepler-1377 b,Kepler-1377,0.0768
Kepler-97 c,Kepler-97,0.0767
Kepler-1332 b,Kepler-1332,0.0766
HD 330075 b,HD 330075,0.0766
Kepler-19 d,Kepler-19,0.0765
HD 166724 b,HD 166724,0.0764
Kepler-1018 b,Kepler-1018,0.0764
Kepler-786 b,Kepler-786,0.0762
Kepler-529 d,Kepler-529,0.0762
Kepler-783 b,Kepler-783,0.0758
HD 125595 b,HD 125595,0.0758
K2-187 e,K2-187,0.0756
WASP-54 b,WASP-54,0.0756
KMT-2022-BLG-0371L b,KMT-2022-BLG-0371L,0.0755
Kepler-523 b,Kepler-523,0.0755
Kepler-1906 b,Kepler-1906,0.0755
Kepler-263 b,Kepler-263,0.0752
Kepler-977 b,Kepler-977,0.0751
WASP-131 b,WASP-131,0.0751
Kepler-594 b,Kepler-594,0.075
Kepler-286 d,Kepler-286,0.075
Kepler-399 d,Kepler-399,0.0748
Kepler-605 c,Kepler-605,0.0746
Kepler-1887 b,Kepler-1887,0.0746
Kepler-1402 b,Kepler-1402,0.0744
K2-132 b,K2-132,0.0744
Kepler-82 d,Kepler-82,0.0744
Kepler-221 d,Kepler-221,0.0743
HD 22532 b,HD 22532,0.0741
Kepler-1287 b,Kepler-1287,0.0741
HD 215152 d,HD 215152,0.074
Kepler-1726 b,Kepler-1726,0.074
HD 285507 b,HD 285507,0.0738
Kepler-739 b,Kepler-739,0.0738
Kepler-1359 b,Kepler-1359,0.0737
Kepler-286 b,Kepler-286,0.0735
Kepler-1534 b,Kepler-1534,0.0734
Kepler-651 b,Kepler-651,0.0734
Kepler-1211 b,Kepler-1211,0.0733
Kepler-387 c,Kepler-387,0.0733
Kepler-1235 b,Kepler-1235,0.0733
HR 8799 d,HR 8799,0.0729
Kepler-1946 b,Kepler-1946,0.0729
Kepler-629 b,Kepler-629,0.0728
K2-80 b,K2-80,0.0727
Kepler-883 b,Kepler-883,0.0723
K2-375 b,K2-375,0.0722
Kepler-317 c,Kepler-317,0.0722
Kepler-382 b,Kepler-382,0.0722
Kepler-248 b,Kepler-248,0.0722
Kepler-710 b,Kepler-710,0.0721
Kepler-121 b,Kepler-121,0.0721
Kepler-92 c,Kepler-92,0.0719
Kepler-1897 b,Kepler-1897,0.0718
HIP 109600 b,HIP 109600,0.0718
Kepler-899 b,Kepler-899,0.0718
Kepler-1313 b,Kepler-1313,0.0717
Kepler-245 e,Kepler-245,0.0717
Kepler-404 b,Kepler-404,0.0716
Kepler-1175 b,Kepler-1175,0.0715
Kepler-1194 b,Kepler-1194,0.0714
Kepler-1122 b,Kepler-1122,0.0714
Kepler-589 b,Kepler-589,0.0714
Kepler-229 d,Kepler-229,0.0713
Kepler-743 b,Kepler-743,0.0713
Kepler-1226 b,Kepler-1226,0.0712
Kepler-636 b,Kepler-636,0.0711
Kepler-286 c,Kepler-286,0.0709
Kepler-1092 b,Kepler-1092,0.0709
Kepler-362 b,Kepler-362,0.0709
Kepler-1701 b,Kepler-1701,0.0708
MOA-2009-BLG-319L b,MOA-2009-BLG-319L,0.0708
Kepler-105 c,Kepler-105,0.0707
TOI-5789 b,TOI-5789,0.0707
Kepler-1471 b,Kepler-1471,0.0707
Kepler-82 f,Kepler-82,0.0705
Kepler-253 d,Kepler-253,0.0704
Kepler-783 c,Kepler-783,0.0702
HD 233604 b,HD 233604,0.07
WASP-23 b,WASP-23,0.07
11 Com b,11 Com,0.0699
Kepler-770 c,Kepler-770,0.0699
Kepler-60 b,Kepler-60,0.0699
KMT-2019-BLG-1042L b,KMT-2019-BLG-1042L,0.0698
Kepler-1102 b,Kepler-1102,0.0698
Kepler-1642 c,Kepler-1642,0.0698
Kepler-1911 b,Kepler-1911,0.0696
OGLE-2014-BLG-1722L b,OGLE-2014-BLG-1722L,0.0696
Kepler-938 b,Kepler-938,0.0694
TOI-2048 b,TOI-2048,0.0693
Kepler-539 c,Kepler-539,0.0693
Kepler-292 e,Kepler-292,0.0692
HD 63454 b,HD 63454,0.0691
Kepler-83 b,Kepler-83,0.0691
HD 42618 b,HD 42618,0.0691
Kepler-247 d,Kepler-247,0.069
Kepler-319 b,Kepler-319,0.0689
Kepler-60 c,Kepler-60,0.0689
Kepler-151 c,Kepler-151,0.0688
Kepler-255 d,Kepler-255,0.0686
Kepler-1500 b,Kepler-1500,0.0683
HD 180053 b,HD 180053,0.0683
Kepler-1032 b,Kepler-1032,0.0682
Kepler-60 d,Kepler-60,0.0681
OGLE-2018-BLG-1212L b,OGLE-2018-BLG-1212L,0.0679
Kepler-233 c,Kepler-233,0.0679
KMT-2022-BLG-0303L b,KMT-2022-BLG-0303L,0.0679
Kepler-1466 b,Kepler-1466,0.0679
Kepler-530 b,Kepler-530,0.0677
Kepler-299 b,Kepler-299,0.0676
Kepler-166 c,Kepler-166,0.0675
Kepler-1684 b,Kepler-1684,0.0675
K2-172 c,K2-172,0.0674
OGLE-2006-BLG-109L c,OGLE-2006-BLG-109L,0.0672
HD 158259 b,HD 158259,0.0672
WASP-67 b,WASP-67,0.0672
Kepler-1297 b,Kepler-1297,0.0672
Kepler-255 b,Kepler-255,0.0671
Kepler-221 c,Kepler-221,0.0671
Kepler-1683 b,Kepler-1683,0.0668
TOI-5789 d,TOI-5789,0.0668
KMT-2021-BLG-1554L b,KMT-2021-BLG-1554L,0.0668
HD 41004 B b,HD 41004 B,0.0668
Kepler-1611 b,Kepler-1611,0.0667
Kepler-233 b,Kepler-233,0.0667
Kepler-623 b,Kepler-623,0.0666
Kepler-770 d,Kepler-770,0.0665
TOI-1758 b,TOI-1758,0.0664
HD 173416 b,HD 173416,0.0664
Kepler-1695 b,Kepler-1695,0.0661
Kepler-1214 b,Kepler-1214,0.066
Kepler-153 c,Kepler-153,0.0659
Kepler-226 b,Kepler-226,0.0659
OGLE-2018-BLG-0567L b,OGLE-2018-BLG-0567L,0.0659
K2-86 b,K2-86,0.0658
Kepler-1277 b,Kepler-1277,0.0658
Kepler-286 e,Kepler-286,0.0657
OGLE-2017-BLG-0406L b,OGLE-2017-BLG-0406L,0.0656
Kepler-382 c,Kepler-382,0.0656
Kepler-1399 b,Kepler-1399,0.0656
OGLE-2018-BLG-0740L b,OGLE-2018-BLG-0740L,0.0655
Kepler-1115 b,Kepler-1115,0.0655
Kepler-80 d,Kepler-80,0.0655
KMT-2024-BLG-0404L c,KMT-2024-BLG-0404L,0.0654
Kepler-206 d,Kepler-206,0.0654
Kepler-1480 b,Kepler-1480,0.0654
Kepler-1290 b,Kepler-1290,0.0652
Kepler-744 b,Kepler-744,0.0651
Kepler-11 b,Kepler-11,0.0651
HD 158259 c,HD 158259,0.065
Kepler-1082 b,Kepler-1082,0.065
Kepler-114 d,Kepler-114,0.0648
Kepler-1339 b,Kepler-1339,0.0648
Kepler-1035 b,Kepler-1035,0.0647
Kepler-339 b,Kepler-339,0.0643
Kepler-166 b,Kepler-166,0.0643
Kepler-963 b,Kepler-963,0.0642
Kepler-256 b,Kepler-256,0.0642
Kepler-1133 b,Kepler-1133,0.0642
Kepler-607 c,Kepler-607,0.0642
Kepler-1682 b,Kepler-1682,0.0642
HD 161178 b,HD 161178,0.064
Kepler-387 b,Kepler-387,0.064
HD 38283 b,HD 38283,0.0639
Kepler-1836 b,Kepler-1836,0.0639
Kepler-795 b,Kepler-795,0.0639
TOI-5789 e,TOI-5789,0.0638
Kepler-154 f,Kepler-154,0.0638
Kepler-93 c,Kepler-93,0.0637
OGLE-2017-BLG-0604L b,OGLE-2017-BLG-0604L,0.0637
Kepler-163 b,Kepler-163,0.0637
Kepler-605 b,Kepler-605,0.0636
Kepler-25 b,Kepler-25,0.0635
Kepler-1698 b,Kepler-1698,0.0635
Kepler-825 b,Kepler-825,0.0634
K2-19 d,K2-19,0.0633
Kepler-247 c,Kepler-247,0.0633
Kepler-154 e,Kepler-154,0.0632
HD 158259 d,HD 158259,0.0628
Kepler-727 b,Kepler-727,0.0628
Kepler-1642 b,Kepler-1642,0.0628
Kepler-1606 b,Kepler-1606,0.0627
KMT-2021-BLG-1303L b,KMT-2021-BLG-1303L,0.0626
Kepler-1101 b,Kepler-1101,0.0626
Kepler-517 b,Kepler-517,0.0625
K2-102 b,K2-102,0.0625
Kepler-145 c,Kepler-145,0.0624
Kepler-1055 b,Kepler-1055,0.0623
Kepler-1282 b,Kepler-1282,0.0623
Kepler-1328 b,Kepler-1328,0.0622
KMT-2019-BLG-2974L b,KMT-2019-BLG-2974L,0.0621
Kepler-80 f,Kepler-80,0.0619
Kepler-958 b,Kepler-958,0.0619
Kepler-230 c,Kepler-230,0.0617
Kepler-1690 b,Kepler-1690,0.0616
HD 85390 b,HD 85390,0.0615
HD 215152 e,HD 215152,0.0614
GJ 667 C b,GJ 667 C,0.0611
Kepler-363 c,Kepler-363,0.0611
HD 192263 b,HD 192263,0.061
CoRoT-7 d,CoRoT-7,0.0607
HD 158259 e,HD 158259,0.0606
Kepler-806 b,Kepler-806,0.0606
Kepler-920 b,Kepler-920,0.0605
Kepler-1001 b,Kepler-1001,0.0603
Kepler-273 b,Kepler-273,0.0603
K2-407 b,K2-407,0.0602
OGLE-2014-BLG-1722L c,OGLE-2014-BLG-1722L,0.0602
TIC 365102760 b,TIC 365102760,0.0601
Kepler-415 c,Kepler-415,0.0601
Kepler-929 b,Kepler-929,0.0599
Kepler-1334 b,Kepler-1334,0.0599
Kepler-371 c,Kepler-371,0.0598
MOA-2010-BLG-353L b,MOA-2010-BLG-353L,0.0597
Kepler-299 e,Kepler-299,0.0596
Kepler-1549 b,Kepler-1549,0.0595
HD 17674 b,HD 17674,0.0595
Kepler-701 b,Kepler-701,0.0594
Kepler-736 b,Kepler-736,0.0594
Kepler-206 b,Kepler-206,0.0594
CoRoT-7 b,CoRoT-7,0.0593
HD 27631 b,HD 27631,0.0592
HD 3651 b,HD 3651,0.0592
K2-407 c,K2-407,0.0592
Kepler-550 b,Kepler-550,0.0591
Kepler-1705 c,Kepler-1705,0.0591
OGLE-2018-BLG-1269L b,OGLE-2018-BLG-1269L,0.0591
Kepler-373 c,Kepler-373,0.0591
OGLE-2007-BLG-349L AB c,OGLE-2007-BLG-349L A,0.059
Kepler-663 b,Kepler-663,0.059
OGLE-2016-BLG-1598L b,OGLE-2016-BLG-1598L,0.059
Kepler-310 b,Kepler-310,0.059
Kepler-1065 c,Kepler-1065,0.0589
Kepler-432 b,Kepler-432,0.0589
HD 102329 b,HD 102329,0.0588
KMT-2018-BLG-1743L b,KMT-2018-BLG-1743L,0.0588
Kepler-317 b,Kepler-317,0.0588
Kepler-724 b,Kepler-724,0.0588
MOA-2015-BLG-337L b,MOA-2015-BLG-337L,0.0587
Kepler-1215 b,Kepler-1215,0.0584
Kepler-1172 b,Kepler-1172,0.0584
Kepler-540 b,Kepler-540,0.0584
Kepler-1853 b,Kepler-1853,0.0584
Kepler-825 c,Kepler-825,0.0583
HD 158259 f,HD 158259,0.0583
Kepler-416 c,Kepler-416,0.0582
Kepler-11 c,Kepler-11,0.0582
POTS-1 b,POTS-1,0.0582
Kepler-57 b,Kepler-57,0.0582
Kepler-962 b,Kepler-962,0.0581
Kepler-487 c,Kepler-487,0.058
Kepler-1087 b,Kepler-1087,0.058
Kepler-1834 b,Kepler-1834,0.058
Kepler-212 b,Kepler-212,0.0579
Kepler-985 b,Kepler-985,0.0579
Kepler-529 b,Kepler-529,0.0576
K2-187 d,K2-187,0.0576
KMT-2022-BLG-2076L b,KMT-2022-BLG-2076L,0.0576
Kepler-1801 b,Kepler-1801,0.0574
Kepler-940 b,Kepler-940,0.0571
OGLE-2017-BLG-0373L b,OGLE-2017-BLG-0373L,0.057
KMT-2021-BLG-1077L b,KMT-2021-BLG-1077L,0.0569
Kepler-1720 b,Kepler-1720,0.0569
Kepler-1333 b,Kepler-1333,0.0569
Kepler-417 c,Kepler-417,0.0568
Kepler-319 d,Kepler-319,0.0568
Kepler-82 e,Kepler-82,0.0568
HD 20781 e,HD 20781,0.0567
Kepler-1220 b,Kepler-1220,0.0566
Kepler-804 c,Kepler-804,0.0566
Kepler-1390 b,Kepler-1390,0.0566
BD+42 2315 b,BD+42 2315,0.0565
Kepler-171 d,Kepler-171,0.0565
Kepler-200 c,Kepler-200,0.0564
Kepler-1804 b,Kepler-1804,0.0564
Kepler-683 b,Kepler-683,0.0564
Kepler-1264 b,Kepler-1264,0.0564
Kepler-209 b,Kepler-209,0.0563
Kepler-160 b,Kepler-160,0.0563
HD 87883 b,HD 87883,0.0563
Kepler-404 c,Kepler-404,0.0562
Kepler-847 b,Kepler-847,0.0562
Kepler-1078 b,Kepler-1078,0.0562
Kepler-394 d,Kepler-394,0.0561
HD 152843 b,HD 152843,0.0561
Kepler-299 d,Kepler-299,0.056
Kepler-948 b,Kepler-948,0.056
Kepler-542 b,Kepler-542,0.056
HD 28471 c,HD 28471,0.056
PSR B0329+54 b,PSR B0329+54,0.0559
Kepler-692 b,Kepler-692,0.0559
Kepler-529 c,Kepler-529,0.0558
Kepler-1705 b,Kepler-1705,0.0558
Kepler-244 c,Kepler-244,0.0557
PSR J2322-2650 b,PSR J2322-2650,0.0556
HD 20781 d,HD 20781,0.0554
Kepler-362 c,Kepler-362,0.0553
Kepler-248 c,Kepler-248,0.0553
Kepler-1800 b,Kepler-1800,0.055
Kepler-180 b,Kepler-180,0.055
OGLE-2018-BLG-0799L b,OGLE-2018-BLG-0799L,0.055
Kepler-172 d,Kepler-172,0.0549
Kepler-638 b,Kepler-638,0.0549
DE CVn b,DE CVn,0.0549
BD-210397 b,BD-210397,0.0549
Kepler-1098 b,Kepler-1098,0.0548
Kepler-1067 b,Kepler-1067,0.0547
HD 20781 c,HD 20781,0.0545
Kepler-633 b,Kepler-633,0.0545
DP Leo b,DP Leo,0.0545
Kepler-838 b,Kepler-838,0.0545
OGLE-2014-BLG-0319L b,OGLE-2014-BLG-0319L,0.0544
