planet_name,host_star_name,habitability_prob
Kepler-1904 b,Kepler-1904,0.8027
EPIC 201170410.02,EPIC 201170410,0.801
HD 180617 b,HD 180617,0.7993
GJ 463 b,GJ 463,0.7973
K2-133 b,K2-133,0.797
Kepler-1646 b,Kepler-1646,0.7963
HD 96127 b,HD 96127,0.7956
HD 220197 b,HD 220197,0.7948
Kepler-617 b,Kepler-617,0.7947
Kepler-236 b,Kepler-236,0.7931
TOI-178 c,TOI-178,0.7917
K2-125 b,K2-125,0.7892
Kepler-994 b,Kepler-994,0.7875
HD 5891 b,HD 5891,0.7856
BD+20 2457 b,BD+20 2457,0.7851
Kepler-32 f,Kepler-32,0.7844
K2-133 c,K2-133,0.7825
Kepler-1940 b,Kepler-1940,0.7817
Kepler-1089 b,Kepler-1089,0.7812
Kepler-1439 b,Kepler-1439,0.7793
Kepler-1669 c,Kepler-1669,0.7773
K2-381 d,K2-381,0.7763
GJ 536 c,GJ 536,0.774
Kepler-231 b,Kepler-231,0.7721
Kepler-26 b,Kepler-26,0.7713
Kepler-303 b,Kepler-303,0.7706
Kepler-991 b,Kepler-991,0.7702
GJ 887 b,GJ 887,0.77
GJ 3512 b,GJ 3512,0.7695
gam Psc b,gam Psc,0.7691
K2-133 d,K2-133,0.7688
Kepler-296 b,Kepler-296,0.7662
Kepler-296 c,Kepler-296,0.7657
Kepler-26 c,Kepler-26,0.7656
Kepler-236 c,Kepler-236,0.7648
TOI-178 f,TOI-178,0.7642
Kepler-29 c,Kepler-29,0.7641
HD 20794 f,HD 20794,0.7639
Kepler-54 b,Kepler-54,0.7633
Kepler-327 d,Kepler-327,0.7623
Kepler-231 c,Kepler-231,0.7608
Kepler-1229 b,Kepler-1229,0.7584
Kepler-303 c,Kepler-303,0.7583
K2-381 c,K2-381,0.7582
Kepler-29 b,Kepler-29,0.7575
BD+03 2562 b,BD+03 2562,0.7547
HD 20794 d,HD 20794,0.754
Kepler-1006 b,Kepler-1006,0.7537
GJ 3512 c,GJ 3512,0.7522
GJ 3293 c,GJ 3293,0.7499
GJ 367 d,GJ 367,0.7491
Kepler-353 c,Kepler-353,0.7483
TOI-178 d,TOI-178,0.7482
K2-83 b,K2-83,0.747
Kepler-1939 b,Kepler-1939,0.7466
HD 20794 b,HD 20794,0.7463
GJ 367 c,GJ 367,0.7452
GJ 887 c,GJ 887,0.745
TOI-178 b,TOI-178,0.7443
TOI-178 e,TOI-178,0.7438
GJ 3293 d,GJ 3293,0.7437
GJ 876 d,GJ 876,0.7426
K2-368 b,K2-368,0.7411
GJ 3293 b,GJ 3293,0.7408
K2-368 c,K2-368,0.7408
GJ 508.2 b,GJ 508.2,0.7394
BD+20 2457 c,BD+20 2457,0.7386
G 268-110 b,G 268-110,0.7383
GJ 273 b,GJ 273,0.7363
GJ 3293 e,GJ 3293,0.7359
Kepler-732 c,Kepler-732,0.7358
Kepler-1739 b,Kepler-1739,0.7353
K2-83 c,K2-83,0.7347
Kepler-296 e,Kepler-296,0.7333
TOI-178 g,TOI-178,0.7318
GJ 273 c,GJ 273,0.7313
Kepler-1857 b,Kepler-1857,0.7279
Kepler-1942 b,Kepler-1942,0.7263
Kepler-32 e,Kepler-32,0.7206
Kepler-296 d,Kepler-296,0.7142
G 264-012 b,G 264-012,0.7138
TOI-1467 b,TOI-1467,0.7137
G 192-15 b,G 192-15,0.711
Kepler-1938 b,Kepler-1938,0.7103
Kepler-1350 c,Kepler-1350,0.7082
Kepler-1314 b,Kepler-1314,0.7081
Kepler-1009 b,Kepler-1009,0.707
HD 1690 b,HD 1690,0.7044
K2-368 d,K2-368,0.7032
Kepler-895 b,Kepler-895,0.7006
Kepler-833 b,Kepler-833,0.6984
Kepler-296 f,Kepler-296,0.6948
GJ 251 b,GJ 251,0.6842
K2-148 b,K2-148,0.6811
TOI-544 c,TOI-544,0.6782
K2-111 c,K2-111,0.6775
Kepler-732 b,Kepler-732,0.6773
G 264-012 c,G 264-012,0.677
Kepler-125 b,Kepler-125,0.6752
Kepler-1855 b,Kepler-1855,0.6746
Kepler-1074 b,Kepler-1074,0.6727
K2-148 d,K2-148,0.6708
K2-148 c,K2-148,0.6683
WASP-37 b,WASP-37,0.6649
Kepler-917 b,Kepler-917,0.6625
Kepler-1350 b,Kepler-1350,0.6616
G 261-6 b,G 261-6,0.659
HD 171028 b,HD 171028,0.6559
HIP 12961 b,HIP 12961,0.6544
Kepler-1367 b,Kepler-1367,0.6492
GJ 251 c,GJ 251,0.6471
TOI-1437 b,TOI-1437,0.6466
GJ 328 b,GJ 328,0.6456
GJ 724 b,GJ 724,0.6439
Kepler-1456 b,Kepler-1456,0.6438
GJ 3634 b,GJ 3634,0.641
Kepler-801 b,Kepler-801,0.6402
Kepler-120 c,Kepler-120,0.6373
HD 155358 c,HD 155358,0.6355
GJ 328 c,GJ 328,0.6326
K2-414 b,K2-414,0.631
Kepler-333 c,Kepler-333,0.6306
Kepler-316 c,Kepler-316,0.6248
Kepler-316 b,Kepler-316,0.6206
Kepler-32 d,Kepler-32,0.6181
Kepler-676 b,Kepler-676,0.6163
Kepler-395 b,Kepler-395,0.616
GJ 3942 b,GJ 3942,0.6149
HD 22496 b,HD 22496,0.6144
Kepler-1096 b,Kepler-1096,0.613
K2-116 b,K2-116,0.6129
Kepler-787 b,Kepler-787,0.6127
Kepler-252 b,Kepler-252,0.6106
Kepler-1947 b,Kepler-1947,0.6086
Kepler-16 b,Kepler-16,0.606
K2-385 b,K2-385,0.6053
K2-384 b,K2-384,0.6052
K2-4 b,K2-4,0.6033
Kepler-395 c,Kepler-395,0.5999
Kepler-1822 b,Kepler-1822,0.5987
K2-71 b,K2-71,0.5966
Kepler-1950 b,Kepler-1950,0.5965
GJ 849 c,GJ 849,0.5961
K2-384 c,K2-384,0.596
Kepler-1744 b,Kepler-1744,0.5958
GJ 849 b,GJ 849,0.595
GJ 3473 c,GJ 3473,0.5944
EPIC 212624936 b,EPIC 212624936,0.5939
Kepler-1729 b,Kepler-1729,0.5931
K2-384 e,K2-384,0.5834
Kepler-333 b,Kepler-333,0.5797
Kepler-235 c,Kepler-235,0.5793
K2-384 d,K2-384,0.5773
HD 95127 b,HD 95127,0.5755
K2-401 b,K2-401,0.5748
Kepler-1663 b,Kepler-1663,0.5737
Kepler-622 b,Kepler-622,0.5737
Kepler-1195 b,Kepler-1195,0.5706
K2-404 b,K2-404,0.5691
Kepler-1902 b,Kepler-1902,0.5689
TOI-1203 c,TOI-1203,0.5662
Kepler-1608 b,Kepler-1608,0.5643
GJ 317 c,GJ 317,0.562
Kepler-1712 b,Kepler-1712,0.5614
Kepler-54 d,Kepler-54,0.5601
Kepler-1716 b,Kepler-1716,0.559
Kepler-329 b,Kepler-329,0.5575
HD 238090 b,HD 238090,0.5566
GJ 4276 b,GJ 4276,0.5562
HD 82886 b,HD 82886,0.5552
Kepler-49 e,Kepler-49,0.5529
K2-414 c,K2-414,0.5529
Kepler-1875 b,Kepler-1875,0.5529
K2-150 b,K2-150,0.5527
Kepler-49 c,Kepler-49,0.549
Kepler-898 b,Kepler-898,0.5486
Kepler-658 b,Kepler-658,0.5485
Kepler-543 b,Kepler-543,0.5455
Kepler-120 b,Kepler-120,0.5431
alf Tau b,alf Tau,0.5402
Kepler-691 b,Kepler-691,0.5402
Kepler-1366 b,Kepler-1366,0.5401
Kepler-1802 b,Kepler-1802,0.5398
Kepler-1687 b,Kepler-1687,0.5346
AT2021ueyL b,AT2021ueyL,0.5346
Kepler-345 b,Kepler-345,0.534
Kepler-388 c,Kepler-388,0.5328
Kepler-974 b,Kepler-974,0.5313
HD 5583 b,HD 5583,0.5261
Kepler-1816 b,Kepler-1816,0.5236
EPIC 212624936 c,EPIC 212624936,0.5236
GJ 338 B b,GJ 338 B,0.5234
GJ 1252 b,GJ 1252,0.5219
Kepler-1788 b,Kepler-1788,0.5218
Kepler-49 b,Kepler-49,0.5192
K2-21 b,K2-21,0.5165
K2-49 b,K2-49,0.5132
Kepler-49 d,Kepler-49,0.5131
K2-384 f,K2-384,0.5102
Kepler-32 c,Kepler-32,0.5098
K2-69 b,K2-69,0.5068
K2-130 b,K2-130,0.5066
Kepler-52 d,Kepler-52,0.5039
GJ 317 b,GJ 317,0.5038
Kepler-205 c,Kepler-205,0.5033
Kepler-398 c,Kepler-398,0.5024
Kepler-834 b,Kepler-834,0.502
Kepler-388 b,Kepler-388,0.5017
Kepler-378 c,Kepler-378,0.5004
Kepler-52 c,Kepler-52,0.4994
Kepler-331 d,Kepler-331,0.4979
HD 96992 b,HD 96992,0.4971
Kepler-329 c,Kepler-329,0.4968
Kepler-551 b,Kepler-551,0.4953
K2-402 b,K2-402,0.4949
TOI-1203 e,TOI-1203,0.4929
Kepler-283 c,Kepler-283,0.4922
Kepler-398 b,Kepler-398,0.492
K2-50 b,K2-50,0.4919
K2-378 b,K2-378,0.4895
Kepler-1203 b,Kepler-1203,0.4894
Kepler-205 b,Kepler-205,0.4879
Kepler-252 c,Kepler-252,0.487
Kepler-1910 b,Kepler-1910,0.487
Kepler-1455 b,Kepler-1455,0.4857
Kepler-235 d,Kepler-235,0.4836
EPIC 206042996 c,EPIC 206042996,0.4801
Kepler-235 e,Kepler-235,0.4789
HD 40307 g,HD 40307,0.4772
Kepler-705 b,Kepler-705,0.4754
Kepler-81 d,Kepler-81,0.4752
TOI-277 b,TOI-277,0.4747
Kepler-1802 c,Kepler-1802,0.4722
Kepler-1808 b,Kepler-1808,0.4702
Kepler-378 b,Kepler-378,0.4702
Kepler-26 d,Kepler-26,0.4695
K2-35 b,K2-35,0.469
HD 40307 f,HD 40307,0.467
K2-90 c,K2-90,0.4642
HD 208527 b,HD 208527,0.4638
TYC 2187-512-1 b,TYC 2187-512-1,0.4632
Kepler-267 b,Kepler-267,0.4618
HD 40307 d,HD 40307,0.4617
Kepler-267 d,Kepler-267,0.4615
HD 4308 b,HD 4308,0.4599
HD 40307 c,HD 40307,0.4583
Kepler-345 c,Kepler-345,0.4572
Kepler-1265 b,Kepler-1265,0.4566
Kepler-331 c,Kepler-331,0.4565
K2-22 b,K2-22,0.4555
HD 40307 b,HD 40307,0.4553
