planet_name,host_star_name,radius_earth,mass_earth,orbital_period,semi_major_axis,equilibrium_temp,star_temp,star_luminosity,star_metallicity,spectral_type,log_mass_earth,log_orbital_period,log_semi_major_axis,stellar_flux,log_stellar_flux,surface_gravity,log_surface_gravity,density,habitable_zone,habitable,label_source,spectral_class,spectral_B,spectral_F,spectral_G,spectral_K,spectral_M
EPIC 220674823 b,EPIC 220674823,1.676,7.8,0.5713127,0.01314,2299.0,5578.0,0.4111844083857368,-0.005,,2.174751721484161,0.4519113846607616,0.01305441907370951,189.51170718832486,5.249713647735295,2.7768126178365353,1.3288804311246112,0.39553411769268865,False,0,measured,,False,False,False,False,False
EPIC 220674823 b,EPIC 220674823,1.82,9.0,0.571336,0.01312,2063.0,5496.0,0.23231736801947478,0.06,,2.302585092994046,0.4519262129169395,0.013034678270455584,107.3999662077958,4.685827777269296,2.717063156623596,1.3129338824604058,0.3564016747825664,False,0,measured,,False,False,False,False,False
EPIC 220674823 b,EPIC 220674823,1.725,8.21,0.571292,0.01326,2300.0,5532.0,0.4142324005535276,0.11,,2.2202898502672155,0.4518982108753343,0.01317285571024748,187.4766365943569,5.238974055409884,2.7590842260029405,1.3241753708228896,0.3818451243262992,False,0,measured,,False,False,False,False,False
EPIC 220674823 b,EPIC 220674823,1.52,8.36,0.571292,0.0116,2333.0,5470.0,0.43230099448940607,-0.025,G5 V,2.2364452904895007,0.4518982108753343,0.01153323581367303,255.65859161909628,5.547746764460405,3.6184210526315788,1.5300528831795346,0.5683121020204884,False,0,measured,G,False,False,True,False,False
EPIC 220674823 b,EPIC 220674823,1.87,8.03,0.571282,6.08133479173683,2115.0,5496.0,0.27448071610857694,0.06,,2.200552367428894,0.45189184666561316,0.0463300605930953,0.0005906145585987048,0.0005904402144637023,2.296319597357659,1.1928065725641388,0.29315824719646705,False,0,measured,,False,False,False,False,False
EPIC 220674823 c,EPIC 220674823,2.77,5.7,13.3387,0.1071,722.0,5496.0,-0.7820559982765157,0.06,,1.9021075263969205,2.66296217555295,0.10174398388328407,-5.42561590650963,,0.7428742717877204,0.5555356307105239,0.06402460963040137,False,0,measured,,False,False,False,False,False
EPIC 220674823 c,EPIC 220674823,3.01,5.0,13.33918,-1.0854390694737353,740.0,5496.0,-0.7598705107599548,0.06,,1.791759469228055,2.6629956508307626,0.1240935161840756,-0.05132380277566924,-0.05268774278492782,0.5518702884074128,0.4394608412111908,0.04377054037155631,False,0,measured,,False,False,False,False,False
EPIC 220674823 c,EPIC 220674823,2.5,5.8,13.3397,0.105,774.0,5470.0,-0.7511424834725664,-0.025,G5 V,1.916922612182061,2.6630319144505457,0.09984533496971613,-5.421679782810941,,0.9279999999999999,0.6564831961883538,0.08861747231356733,False,0,measured,G,False,False,True,False,False
EPIC 220674823 c,EPIC 220674823,2.836,8.9,13.3397,0.1083,805.0,5532.0,-0.7146239062957296,0.11,,2.2925347571405443,2.6630319144505457,0.1028273097994703,-4.848537548677019,,1.1065665899447166,0.7450594135891914,0.09314996966680752,False,0,measured,,False,False,False,False,False
EPIC 220674823 c,EPIC 220674823,2.84,7.32,13.33989,0.1073,804.0,5578.0,-0.7159067910072163,-0.005,,2.1186622548331173,2.6630451642912862,0.10192461972192554,-4.9481991933606695,,0.9075580242015474,0.6458239026923581,0.07628997131745965,False,0,measured,,False,False,False,False,False
