planet_name,host_star_name,radius_earth,pl_radj,mass_earth,pl_massj,orbital_period,semimajor_axis,eq_temp_k,density,star_temp_k,star_luminosity,star_metallicity,star_spectype,habitability_score,stellar_compatibility,orbital_stability,star_A,star_B,star_F,star_G,star_K,star_M,star_Unknown,radius_earth_scaled,mass_earth_scaled,orbital_period_scaled,semimajor_axis_scaled,eq_temp_k_scaled,density_scaled,star_temp_k_scaled,star_luminosity_scaled,star_metallicity_scaled,habitable_binary,habitability_probability,habitability_rank
Kepler-452 b,Kepler-452,1.13,0.10081202,196.050555,,384.843022,0.9892,220.0,1.33,5578.0,-0.02687,-0.24,G0 V,0.9095267103213256,1.0,5.944600160514312,False,False,False,True,False,False,False,-1.040322580645161,0.0,12.23816089661505,4.426059462364247,-1.6742209631728044,0.0,0.0010937927262783,0.0,-1.0476190476190477,1,0.9934049,27
TOI-2285 b,TOI-2285,1.74,0.15523267,19.5,0.06135386,27.26955,0.1363,284.0,1.33,3491.0,-1.54212,-0.05,G0 V,0.9107603651833096,1.0,1.551139012840385,False,False,False,True,False,False,False,-0.5483870967741934,-176.550555,0.5298667501940841,0.1624654760863316,-1.4929178470254958,0.0,-2.2816516270166805,-1.51525,-0.1428571428571428,0,0.42574403,28
Kepler-249 d,Kepler-249,1.21,0.10794916,196.050555,,15.36843606,0.0921,336.0,1.33,3568.0,-0.02687,0.02,G0 V,0.9312022655502008,1.0,0.881878551005161,False,False,False,True,False,False,False,-0.975806451612903,0.0,0.1401797247550411,-0.0584875713910794,-1.3456090651558077,0.0,-2.1974295870932457,0.0,0.1904761904761905,0,0.367242,29
Kepler-1638 b,Kepler-1638,1.7,0.1516641,196.050555,,259.33683,0.7307,281.0,1.33,5906.0,-0.02687,-0.76,G0 V,0.9119661996218044,1.0,5.2496386599922245,False,False,False,True,False,False,False,-0.5806451612903225,0.0,8.128618304112031,3.133834060262194,-1.501416430594901,0.0,0.3598578069455838,0.0,-3.523809523809524,0,0.24045695,30
Kepler-62 e,Kepler-62,1.61,0.144,36.0,0.113,122.3874,0.427,270.0,1.33,4925.0,-0.678,-0.37,K2 V,0.9108196033242716,0.9,3.975174686597572,False,False,False,False,True,False,False,-0.6532258064516127,-160.050555,3.644381258628164,1.6156566729569966,-1.5325779036827196,0.0,-0.7131528575334974,-0.6511300000000001,-1.6666666666666663,0,0.19842415,31
Kepler-186 f,Kepler-186,1.06,0.09456703,196.050555,,129.94577,0.3931,179.0,1.33,3761.0,-0.02687,-0.21,G0 V,0.8601699751270383,1.0,3.952813297436282,False,False,False,True,False,False,False,-1.0967741935483868,0.0,3.8918705892334393,1.4461926840546384,-1.7903682719546743,0.0,-1.9863275909215203,0.0,-0.9047619047619048,0,0.18515526,32
Kepler-296 d,Kepler-296,1.65,0.14720339,196.050555,,19.85028393,0.104,293.0,1.33,3517.0,-0.02687,-0.07,G0 V,0.9186715614582054,1.0,1.1198614276668368,False,False,False,True,False,False,False,-0.6209677419354838,0.0,0.2869322030302479,0.0009997875451466,-1.4674220963172804,0.0,-2.2532130161334427,0.0,-0.2380952380952381,0,0.17578751,33
Kepler-69 c,Kepler-69,1.74,0.15523267,196.050555,,242.46712,0.7106,286.0,1.33,5637.0,-0.02687,-0.3,G0 V,0.9124806242065414,1.0,5.1550076672831615,False,False,False,True,False,False,False,-0.5483870967741934,0.0,7.576240842383495,3.0333554119749557,-1.4872521246458923,0.0,0.0656275635767022,0.0,-1.3333333333333333,0,0.15640555,34
TRAPPIST-1 g,TRAPPIST-1,1.127,0.10054421,1.34,0.00421609,12.35294,0.0451,198.6,5.2,2559.0,-3.28067,0.04,G0 V,0.8814804434837715,1.0,0.4428364160114764,False,False,False,True,False,False,False,-1.0427419354838707,-194.710555,0.0414410944243954,-0.2934376445005436,-1.7348441926345608,3.87,-3.3010664479081213,-3.2538,0.2857142857142857,0,0.1253421,35
K2-133 e,K2-133,1.73,0.15434026,196.050555,,26.5841,0.1346,296.0,1.33,3655.0,-1.47886,-0.02,M1.5 V,0.9084109274349808,0.5,1.521310245715771,False,False,False,False,False,True,False,-0.5564516129032256,0.0,0.5074225510263555,0.153967281952585,-1.4589235127478757,0.0,-2.102269619907028,-1.45199,0.0,0,0.06673835,36
L 98-59 f,L 98-59,2.42,,196.050555,,23.064,0.1052,285.0,5.0,3415.0,-1.91364,-0.46,M3 V,0.8558081806344502,0.5,1.231490534705498,False,False,False,False,False,True,False,0.0,0.0,0.3921612985785888,0.0069985128160265,-1.4900849858356942,3.67,-2.3647798742138364,-1.88677,-2.095238095238096,0,0.041880067,37
Kepler-296 f,Kepler-296,1.23,0.10973344,196.050555,,63.3366606,0.2253,199.0,1.33,3517.0,-0.02687,-0.07,G0 V,0.8702341301513815,1.0,2.725873723102674,False,False,False,True,False,False,False,-0.9596774193548384,0.0,1.7108389782353677,0.6073709336765937,-1.7337110481586402,0.0,-2.2532130161334427,0.0,-0.2380952380952381,0,0.037527837,38
Kepler-205 c,Kepler-205,1.29,0.11508629,196.050555,,20.30655662,0.1164,343.0,1.33,3834.0,-0.02687,-0.25,G0 V,0.9163275787331564,1.0,1.2130365612691667,False,False,False,True,False,False,False,-0.9112903225806448,0.0,0.301872279081244,0.0629866153442393,-1.3257790368271956,0.0,-1.9064807219031996,0.0,-1.0952380952380951,0,0.028334875,39
Kepler-235 e,Kepler-235,1.79,0.1596931,196.050555,,46.18510056,0.20087,266.0,1.33,3887.0,-0.02687,-0.36,M0 V,0.8899822600658248,0.5,2.3299279612340325,False,False,False,False,False,True,False,-0.5080645161290321,0.0,1.1492326910152697,0.4852468850369296,-1.5439093484419264,0.0,-1.8485097074104455,0.0,-1.619047619047619,0,0.02606324,40
Kepler-1552 b,Kepler-1552,2.17,0.19359477,196.050555,,184.771853,0.568,251.0,1.33,5220.0,-0.02687,-0.54,G0 V,0.8442443412023422,1.0,4.6629711780904,False,False,False,True,False,False,False,-0.2016129032258064,0.0,5.687081802944756,2.320506892285389,-1.586402266288952,0.0,-0.3904840032813781,0.0,-2.4761904761904763,0,0.015500539,41
Kepler-1632 b,Kepler-1632,1.66,0.14809554,196.050555,,448.303558,1.0846,232.0,1.33,6070.0,-0.02687,-0.76,G0 V,0.8674163682461039,1.0,6.188736370912907,False,False,False,True,False,False,False,-0.6129032258064515,0.0,14.31609642695981,4.902958121399203,-1.640226628895184,0.0,0.5392398140552366,0.0,-3.523809523809524,0,0.011737839,42
Kepler-1646 b,Kepler-1646,0.95,0.08475347,196.050555,,4.48559215,0.0295,365.0,1.33,3236.0,-0.02687,-0.02,G0 V,0.9281803899953808,1.0,0.1242730131633569,False,False,False,True,False,False,False,-1.1854838709677418,0.0,-0.2161653277321469,-0.3714210730219828,-1.2634560906515582,0.0,-2.560568772217665,0.0,0.0,0,0.010465945,43
Kepler-1649 b,Kepler-1649,0.49,0.04371495,196.050555,,8.68910764,0.0378,211.0,1.33,2703.0,-0.02687,-0.02,G0 V,0.8113340717375761,1.0,0.2840115458976547,False,False,False,True,False,False,False,-1.5564516129032255,0.0,-0.0785264935907907,-0.3299298898983966,-1.69971671388102,0.0,-3.143560295324036,0.0,0.0,0,0.010184395,44
TRAPPIST-1 h,TRAPPIST-1,0.755,0.06735659,196.050555,,20.0,0.063,168.0,1.33,2559.0,-3.28067,0.04,G0 V,0.8136446499675427,1.0,0.8153648132841945,False,False,False,True,False,False,False,-1.3427419354838708,0.0,0.2918344676647064,-0.2039566592099179,-1.821529745042493,0.0,-3.3010664479081213,-3.2538,0.2857142857142857,0,0.009498984,45
Kepler-220 e,Kepler-220,1.32,0.11776272,196.050555,,45.9027566,0.2261,362.0,1.33,4709.0,-0.02687,-0.08,G0 V,0.898559532652249,1.0,2.4317355642659866,False,False,False,True,False,False,False,-0.8870967741935482,0.0,1.1399876927337824,0.6113700838571803,-1.271954674220963,0.0,-0.9494120864096254,0.0,-0.2857142857142857,0,0.008349116,46
Kepler-445 d,Kepler-445,2.44,0.21768259,196.050555,,8.15275885,0.0439,305.0,1.33,3327.0,-0.02687,-0.38,G0 V,0.8435603538413242,1.0,0.3059438908959958,False,False,False,True,False,False,False,0.0161290322580645,0.0,-0.0960885609423558,-0.2994363697714235,-1.43342776203966,0.0,-2.461033634126333,0.0,-1.7142857142857142,0,0.0072312164,47
Kepler-367 c,Kepler-367,1.36,0.12133128,196.050555,,53.5778376,0.2541,350.0,1.33,4722.0,-0.02687,0.07,G0 V,0.9031514706186774,1.0,2.681988768606111,False,False,False,True,False,False,False,-0.854838709677419,0.0,1.3912985784182967,0.7513403401777121,-1.3059490084985836,0.0,-0.9351927809680064,0.0,0.4285714285714286,0,0.007171903,48
Kepler-1996 c,Kepler-1996,2.15,0.19181048,196.050555,,92.7296775,0.3482,267.0,1.33,4528.0,-0.02687,-0.3,G0 V,0.8606228397388316,1.0,3.5052112020978923,False,False,False,True,False,False,False,-0.2177419354838709,0.0,2.6732763922612115,1.221740380169214,-1.5410764872521243,0.0,-1.1473885698660105,0.0,-1.3333333333333333,0,0.005449805,49
TOI-6716 b,TOI-6716,0.982,0.0876,196.050555,,4.7185898,0.0319,369.0,1.33,3110.0,-0.02687,-0.02,M4,0.9296068995767652,0.5,0.1402166343088512,False,False,False,False,False,True,False,-1.1596774193548385,0.0,-0.2085361123813368,-0.3594236224802229,-1.2521246458923512,0.0,-2.6983866557287395,0.0,0.0,0,0.0053057736,50
Kepler-49 e,Kepler-49,1.3,0.11597843,196.050555,,18.5960431,0.1119,359.0,1.33,3816.0,-0.02687,-0.05,G0 V,0.903011651396172,1.0,1.1252208606972065,False,False,False,True,False,False,False,-0.9032258064516128,0.0,0.2458636626657905,0.0404913955784395,-1.2804532577903682,0.0,-1.92616899097621,0.0,-0.1428571428571428,0,0.004868785,51
HN Lib b,HN Lib,2.42,,196.050555,,36.116,0.1417,234.4,1.33,3347.0,-1.99542,-0.18,M4.0 V,0.8099212264543104,0.5,1.8111759435453965,False,False,False,False,False,True,False,0.0,0.0,0.8195326422757141,0.1894597398052913,-1.6334277620396602,0.0,-2.439157779600765,-1.96855,-0.761904761904762,0,0.0048390953,52
K2-415 b,K2-415,1.015,0.09055239,7.5,0.02359764,4.0179694,0.027,412.4,1.33,3173.0,-2.45469,-0.13,M5 V,0.898754348135961,0.5,0.1029943749735063,False,False,False,False,False,True,False,-1.133064516129032,-188.550555,-0.2314770472395668,-0.383918417336316,-1.1291784702549577,0.0,-2.629477713973202,-2.42782,-0.5238095238095238,0,0.004659204,53
GJ 1002 c,GJ 1002,2.42,,196.050555,,21.202,0.0738,181.7,1.33,3024.0,-2.85201,-0.25,M5.5 V,0.7481316749808228,0.5,0.941844476023319,False,False,False,False,False,True,False,0.0,0.0,0.3311924476772674,-0.1499681317719984,-1.7827195467422094,0.0,-2.792452830188679,-2.82514,-1.0952380952380951,0,0.0043928977,54
LTT 1445 A b,LTT 1445 A,1.38,0.12311535,2.2,0.00692194,5.35882,0.03807,433.0,4.4,3337.0,-0.02687,-0.34,G0 V,0.8439170826607438,1.0,0.1856578828967091,False,False,False,True,False,False,False,-0.8387096774193548,-193.850555,-0.1875725787581772,-0.3285801767124486,-1.0708215297450423,3.0700000000000003,-2.450095706863549,0.0,-1.523809523809524,0,0.004378693,55
K2-288 B b,K2-288 B,1.9,0.16950665,196.050555,,31.393463,0.164,226.36,1.33,3341.0,-1.93,-0.21,M3 V,0.8401388215518528,0.5,1.8162126925166877,False,False,False,False,False,True,False,-0.4193548387096774,0.0,0.6648991007993588,0.3009360510891435,-1.6562039660056658,0.0,-2.445720535958436,-1.90313,-0.9047619047619048,0,0.0039704065,56
Teegarden's Star d,Teegarden's Star,2.42,,196.050555,,26.13,0.0791,159.0,1.33,3034.0,-3.14146,-0.11,G0 V,0.7152866060901851,1.0,1.1206617363770717,False,False,False,True,False,False,False,0.0,0.0,0.4925536169800127,-0.123473761825612,-1.847025495750708,0.0,-2.7815149029258954,-3.11459,-0.4285714285714285,0,0.0039253174,57
Kepler-1058 b,Kepler-1058,2.12,0.18913406,196.050555,,110.96546,0.3679,239.0,1.33,4441.0,-0.02687,-0.86,G0 V,0.836151041432826,1.0,3.733474945646572,False,False,False,True,False,False,False,-0.2419354838709675,0.0,3.2703841819021493,1.3202194533661595,-1.6203966005665722,0.0,-1.242548537052229,0.0,-4.0,0,0.0037079786,58
TOI-2095 b,TOI-2095,1.25,0.11151772,4.1,0.01290004,17.66484,0.101,347.0,1.33,3759.0,-1.45892,-0.24,M2.5 V,0.9178328908004224,0.5,1.0239422036867754,False,False,False,False,False,True,False,-0.943548387096774,-191.950555,0.21537258696077,-0.0139970256320531,-1.3144475920679888,0.0,-1.9885151763740767,-1.43205,-1.0476190476190477,0,0.0033891678,59
Kepler-1020 b,Kepler-1020,2.01,0.1793205,196.050555,,96.9151496,0.3796,313.0,1.33,5229.0,-0.02687,-0.36,G0 V,0.8700220981433874,1.0,3.6320178112138417,False,False,False,True,False,False,False,-0.3306451612903226,0.0,2.8103244182636504,1.378707024757239,-1.4107648725212465,0.0,-0.3806398687448728,0.0,-1.619047619047619,0,0.0031704516,60
TOI-5716 b,TOI-5716,1.01767433,0.09079098,196.050555,,6.76627285241,0.1038,346.57,1.33,3331.0,-0.02687,-0.02,G0 V,0.9471319144428958,1.0,0.532003259469484,False,False,False,True,False,False,False,-1.1309077983870963,0.0,-0.1414873031893131,0.0,-1.315665722379603,0.0,-2.45665846322122,0.0,0.0,0,0.002966437,61
Kepler-1503 b,Kepler-1503,2.07,0.18467335,196.050555,,96.169569,0.3771,321.0,1.33,5340.0,-0.02687,-0.44,G0 V,0.8590429713894706,1.0,3.618069158985005,False,False,False,True,False,False,False,-0.282258064516129,0.0,2.785911318136734,1.3662096804429058,-1.388101983002833,0.0,-0.2592288761279737,0.0,-2.0,0,0.002960421,62
Kepler-439 b,Kepler-439,2.33,0.20786903,196.050555,,178.140456,0.5886,284.0,1.33,5592.0,-0.02687,-0.3,G0 V,0.8615221076344963,1.0,4.662055801970532,False,False,False,True,False,False,False,-0.0725806451612901,0.0,5.469945038733977,2.423485009435495,-1.4929178470254958,0.0,0.0164068908941755,0.0,-1.3333333333333333,0,0.002938624,63
