sy_dist,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_met,habitability_score,stellar_compatibility,orbital_stability,habitable
244.59,0.571212,0.101,1.6,152.0,0.0,88.24,802.0,5613.0,0.95,0.96,-0.07917,0.01,516.57817,0.9714434060228453,5.655564356435644,0
244.59,0.571285,0.101,1.816,152.0,0.0,88.24,802.0,5620.0,1.02,0.96,-0.07917,0.0,516.79417,0.9726548978885428,5.656287128712871,0
244.59,0.571308,0.101,1.46,152.0,0.0,88.24,802.0,5590.0,0.83,0.93,-0.11919,0.025,516.47819,0.9674627898926964,5.656514851485149,0
244.59,0.571,0.101,1.712,7.72,0.0,88.24,802.0,5496.0,0.981,0.902,-0.07917,0.06,516.69017,0.9511941848390446,5.653465346534652,0
244.59,0.571336,0.101,1.8,152.0,0.0,88.24,802.0,5620.0,0.97,0.96,-0.07917,0.0,516.7781699999999,0.9726548978885428,5.65679207920792,0
244.59,13.334615,0.101,2.2,152.0,0.0,88.24,802.0,5613.0,0.95,0.96,-0.07917,0.01,517.17817,0.9714434060228453,132.0258910891089,0
244.59,13.338687,0.101,2.8,152.0,0.0,88.24,802.0,5620.0,0.97,0.96,-0.07917,0.0,517.7781699999999,0.9726548978885428,132.06620792079207,0
244.59,13.339746,0.101,2.70490157,152.0,0.0,88.24,802.0,5590.0,0.906429,0.966939,-0.07917,0.08,517.6830715699999,0.9674627898926964,132.0766930693069,0
244.59,13.341245,0.101,2.53,152.0,0.0,88.24,802.0,5590.0,0.83,0.93,-0.11919,0.025,517.54819,0.9674627898926964,132.09153465346535,0
150.124,0.728113,0.101,1.1,152.0,0.0,88.24,802.0,3782.0,0.32,0.96,-0.07917,-0.18,516.07817,0.654551748009692,7.209039603960396,0
121.971,16.140442,0.101,2.05969274,152.0,0.0,88.24,802.0,5870.0,0.975013,0.96,-0.07917,-0.15,517.0378627399999,1.0159224645205953,159.80635643564355,0
372.632,6.1802679,0.101,2.31,152.0,0.0,88.24,802.0,6202.0,1.586,1.317,0.52634,0.141,516.6826599999999,1.0733817930079612,61.190771287128705,0
27.9276,5.745912,0.101,2.31,152.0,0.0,88.24,802.0,3390.0,0.307,0.96,-0.07917,0.0,517.2881699999999,0.5867082035306335,56.89021782178217,0
27.9276,5.7459996,0.101,2.31,152.0,0.0,88.24,802.0,3348.0,0.3073,0.29,-1.97102,0.04,519.1800199999999,0.5794392523364486,56.89108514851485,0
12.613,1.6289304,0.101,2.31,152.0,0.0,88.24,802.0,3270.0,0.207,0.181,-2.35853,-0.12,519.5675299999999,0.5659397715472482,16.128023762376237,0
12.613,10.300667155,0.101,2.31,1.58,0.0,88.24,802.0,5620.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.9726548978885428,101.98680351485147,0
12.613,1.6289287,0.101,1.11,1.74,0.0,88.24,802.0,3090.0,0.207,0.192,-0.07917,-0.31,516.08817,0.5347871235721703,16.12800693069307,0
14.6427,1.58040482,0.101,2.27,6.43,0.0,88.24,802.0,5620.0,0.21,0.157,-0.07917,0.0,517.24817,0.9726548978885428,15.647572475247523,0
14.6427,1.5804049,0.101,2.64,152.0,0.0,88.24,802.0,5620.0,0.2064,0.157,-0.07917,0.0,517.61817,0.9726548978885428,15.647573267326731,0
14.6427,1.580404571,0.101,2.31,152.0,0.0,88.24,802.0,3026.0,0.211,0.157,-2.484,0.0,519.693,0.5237106265143648,15.64757000990099,0
14.6427,1.580404418,0.101,2.31,152.0,0.0,88.24,802.0,3026.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.5237106265143648,15.647568495049505,0
14.6427,1.58040464894,0.101,2.31,152.0,0.0,88.24,802.0,3074.0,0.214572,0.183607,-2.43134,0.0,519.6403399999999,0.532017999307719,15.64757078158416,0
14.6427,1.58040482,0.101,2.65,6.45,0.0,88.24,802.0,3170.0,0.179,0.156,-0.07917,0.0,517.62817,0.5486327448944271,15.647572475247523,0
14.6427,1.580404341,0.101,2.31,152.0,0.0,88.24,802.0,5620.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.9726548978885428,15.647567732673267,0
14.6427,10.300667155,0.101,2.31,152.0,0.0,88.24,802.0,3026.0,0.201,0.96,-0.07917,0.0,517.2881699999999,0.5237106265143648,101.98680351485147,0
14.6427,1.58040481,0.101,2.31,152.0,0.0,88.24,802.0,3026.0,0.21,0.96,-0.07917,0.0,517.2881699999999,0.5237106265143648,15.647572376237624,0
14.6427,1.58040481,0.101,2.31,152.0,0.0,88.24,802.0,3000.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.5192107995846313,15.647572376237624,0
14.6427,1.580408346,0.101,2.31,152.0,0.0,88.24,802.0,3074.0,0.214572,0.183607,-2.43134,0.0,519.6403399999999,0.532017999307719,15.647607386138613,0
14.6427,1.580404938,0.101,2.31,152.0,0.0,88.24,802.0,3074.0,0.214572,0.183607,-2.43134,0.0,519.6403399999999,0.532017999307719,15.647573643564355,0
14.6427,1.58040454,0.101,2.31,152.0,0.0,88.24,802.0,3026.0,0.211,0.157,-2.484,0.0,519.693,0.5237106265143648,15.647569702970296,0
14.6427,1.5804043,0.101,2.61,152.0,0.0,88.24,802.0,5620.0,0.201,0.96,-0.07917,0.0,517.58817,0.9726548978885428,15.647567326732673,0
20.373,0.5182464,0.101,2.31,152.0,0.0,88.24,802.0,3458.0,0.391,0.381,-1.70774,0.1,518.9167399999999,0.5984769816545518,5.131152475247524,0
20.373,0.5182331,0.101,1.193,1.32,0.0,88.24,802.0,3458.0,0.391,0.381,-1.70774,0.1,517.7997399999999,0.5984769816545518,5.131020792079208,0
20.373,0.5182418,0.101,2.31,152.0,0.0,88.24,802.0,3458.0,0.391,0.381,-1.70774,0.1,518.9167399999999,0.5984769816545518,5.131106930693068,0
23.6062,15.819,0.101,2.31,152.0,0.08,88.24,802.0,3542.0,0.957,0.53,-1.58503,0.0,518.7940299999999,0.6130148840429214,156.62376237623764,0
15.1968,5312.0,0.101,2.31,152.0,0.308,88.24,802.0,5620.0,0.957,0.24,-0.07917,0.0,517.2881699999999,0.9726548978885428,52594.05940594059,0
29.4214,3.3366413,0.101,2.31,152.0,0.0,88.24,802.0,3552.0,0.499698,0.497757,-1.446,0.0,518.655,0.6147455867082036,33.03605247524752,0
29.4214,3.336665,0.101,2.31,152.0,0.0,88.24,802.0,3552.0,0.499698,0.497757,-1.446,0.0,518.655,0.6147455867082036,33.03628712871287,0
29.4214,3.3366524,0.101,2.31,152.0,0.017,88.24,802.0,3600.0,0.503,0.541,-1.538,0.0,518.747,0.6230529595015576,33.03616237623763,0
29.4214,3.336649,0.101,2.31,152.0,0.0,88.24,802.0,3552.0,0.499698,0.497757,-1.446,0.0,518.655,0.6147455867082036,33.03612871287128,0
9.44181,10.300667155,0.101,2.31,152.0,0.0,88.24,802.0,5620.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.9726548978885428,101.98680351485147,0
9.44181,3.930623,0.101,2.31,152.0,0.0,88.24,802.0,3505.0,0.337,0.342,-1.79833,-0.12,519.0073299999999,0.6066112841813777,38.91705940594059,0
9.41263,11.5301,0.101,2.31,152.0,0.09,88.24,802.0,3522.0,0.458,0.455,-1.5391,-0.01,518.7480999999999,0.6095534787123572,114.15940594059404,0
9.41263,34.369,0.101,2.31,152.0,0.14,88.24,802.0,3522.0,0.458,0.455,-1.5391,-0.01,518.7480999999999,0.6095534787123572,340.28712871287127,0
9.75321,2.64389846,0.101,2.31,152.0,0.0,88.24,802.0,3456.0,0.425432,0.419868,-1.63335,0.0,518.8423499999999,0.5981308411214953,26.177212475247522,0
9.75321,10.300667155,0.101,2.31,21.676006,0.1495,88.24,802.0,5620.0,0.957,0.452,-0.07917,-0.03,517.2881699999999,0.9726548978885428,101.98680351485147,0
9.75321,2.64389751,0.101,2.31,152.0,0.0,88.24,802.0,3350.0,0.464,0.452,-1.585,-0.03,518.794,0.579785392869505,26.177203069306927,0
9.75321,2.643897528,0.101,2.31,152.0,0.1634,88.24,802.0,5620.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.9726548978885428,26.17720324752475,0
9.75321,2.643897621,0.101,2.31,152.0,0.0,88.24,802.0,3350.0,0.464,0.452,-1.585,-0.03,518.794,0.579785392869505,26.177204168316827,0
9.75321,2.64389803,0.101,2.31,25.4,0.1616,88.24,802.0,3479.0,0.449,0.445,-0.07917,0.0,517.2881699999999,0.6021114572516442,26.17720821782178,0
9.75321,2.6438986,0.101,2.31,152.0,0.0,88.24,802.0,3500.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.6057459328487366,26.177213861386136,0
7.24396,7.203,0.101,2.31,152.0,0.2,88.24,802.0,5620.0,0.957,0.96,-0.07917,0.0,517.2881699999999,0.9726548978885428,71.31683168316832,0
