pl_radj,pl_massj,stellar_compatibility,orbital_stability,star_A,star_B,star_F,star_G,star_K,star_M,star_Unknown,radius_earth_scaled,mass_earth_scaled,orbital_period_scaled,semimajor_axis_scaled,eq_temp_k_scaled,density_scaled,star_temp_k_scaled,star_luminosity_scaled,star_metallicity_scaled
0.239094,,1.0,0.4928961084916372,0,0,0,1,0,0,0,0.2096774193548388,0.0,-0.0973153596573453,-0.126473124461052,0.1926345609065155,0.0,0.3817336614711512,0.0,-0.8571428571428573
0.11687057,,1.0,0.0713316476283826,0,0,0,1,0,0,0,-0.8951612903225804,0.0,-0.2795581604604939,-0.3739205418848494,-0.3427762039660056,0.0,-1.9447634673229424,0.0,-0.8571428571428573
0.09545917,,1.0,1.0876891140892342,0,0,0,1,0,0,0,-1.0887096774193543,0.0,0.1564783796647695,0.1009785420598122,-0.1444759206798866,0.0,0.4025157232704403,0.0,0.0
0.21589831,0.03272206,1.0,2.1902158210628087,0,0,0,1,0,0,0,0.0,-185.650555,0.8346173575935067,0.5658797505530074,-0.4815864022662889,2.67,0.2264150943396226,0.15072,0.3333333333333333
0.1,,1.0,0.8090836234239361,0,0,0,1,0,0,0,-1.0564516129032255,0.0,0.0273305054837856,0.0034992564080132,0.1274787535410765,0.0,0.4670494941208641,0.0,0.4285714285714286
,,1.0,1.1235679235756475,0,0,0,1,0,0,0,0.0,0.0,0.1789831547584742,0.1079770548758389,0.0,0.0,0.3511074651353568,0.10605,-0.7142857142857144
0.14898768,,1.0,0.1184715443780691,0,0,0,1,0,0,0,-0.6048387096774193,0.0,-0.2642792782129771,-0.3104340327680367,1.3994334277620395,0.0,0.5097074104457205,0.0,-0.0952380952380952
1.348,0.957,1.0,0.2259323708594459,0,0,0,1,0,0,0,10.233633854838708,108.1112305,-0.2196856452802562,-0.2294512416111576,0.0,-0.449,-0.6595570139458573,0.8490399999999999,1.0714285714285714
,,1.0,6.515649333567258,0,0,0,1,0,0,0,0.0,0.0,16.80090263948923,5.9147431170876175,0.0,0.0,0.1203171998906207,0.0,1.6190476190476193
1.285,3.47,1.0,0.0341861907364067,0,0,0,1,0,0,0,9.664165322580644,906.819545,-0.3176362004955748,-0.3935163777697239,2.9206798866855523,0.69,0.2078206179928903,0.10966,1.3285714285714287
0.98046382,,1.0,1.1500555005337068,0,0,0,1,0,0,0,6.911290322580644,0.0,0.1719562248836482,0.1414699376382518,0.4560906515580736,0.0,-0.7590921520371889,0.0,0.8571428571428571
0.17206739,,1.0,0.3134439668151165,0,0,0,1,0,0,0,-0.3962096774193546,0.0,-0.1446723805444858,-0.2429483734706375,0.0,0.0,-1.349740224227509,0.0,-0.3904761904761904
0.11597843,,1.0,0.3835469571772892,0,0,0,1,0,0,0,-0.9032258064516128,0.0,-0.0986697620515596,-0.2294512416111576,-1.1869688385269122,0.0,-2.303527481542248,0.0,0.0
0.12489985,,1.0,1.6835672416000451,0,0,0,1,0,0,0,-0.8225806451612901,0.0,0.4910493497449337,0.3214316957646499,-0.603399433427762,0.0,0.5512715340442986,0.0,-2.2857142857142856
0.23552543,,1.0,0.7438082162620909,0,0,0,1,0,0,0,0.1774193548387098,0.0,0.0123166345300156,-0.0374920329429996,-0.2266288951841359,0.0,0.0700027344818157,0.0,-0.6666666666666667
0.19322988,,1.0,0.6697592644178925,0,0,0,1,0,0,0,-0.2049112903225807,0.0,-0.0621743216513683,0.0,-0.0708215297450425,0.0,0.3270440251572327,0.0,0.0
0.10857347,0.00578926,0.5,0.1288989795479158,0,0,0,0,0,1,0,-0.9701612903225804,-194.210555,-0.2343339192373271,-0.3439269155304497,-0.8101983002832861,4.27,-2.266338528848783,-1.77146,-0.4761904761904761
0.11439756,,1.0,0.2038141316801816,0,0,0,1,0,0,0,-0.9175161290322578,0.0,-0.2917264755233758,0.0,1.8441926345609063,0.0,0.245983046212743,0.0,0.0
,,1.0,6.01307925708039,0,0,0,1,0,0,0,0.0,0.0,11.146385527701256,5.279878025919492,0.0,0.0,-0.3904840032813781,1.0358699999999998,-0.6190476190476191
,,0.5,1.6840090630184157,0,0,0,0,0,1,0,0.0,0.0,0.7419627132825721,0.1309721684142119,0.0,0.0,-2.5058791359037462,0.0,0.8571428571428571
0.26585825,,1.0,2.2427768355901123,0,0,0,1,0,0,0,0.4516129032258064,0.0,0.936131859758322,0.5418848494694877,-0.9575070821529744,0.0,-0.3642329778506973,0.0,0.1904761904761905
0.20697654,,0.5,0.0472401416001199,0,0,0,0,0,1,0,-0.0806451612903226,0.0,-0.2890246484267447,-0.4119124686004224,-0.6883852691218131,0.0,-2.584632212195789,0.0,1.3333333333333337
0.19181048,,1.0,0.5047551314059583,0,0,0,1,0,0,0,-0.2177419354838709,0.0,-0.087766635647639,-0.1284726995513453,0.6713881019830028,0.0,-0.2318840579710145,0.0,-0.1904761904761904
0.07404764,,1.0,0.0340989732534258,0,0,0,1,0,0,0,-1.2822580645161288,0.0,-0.3104578845055485,-0.4109126810552757,-0.0623229461756373,0.0,-2.0257041290675417,0.0,-0.0476190476190476
0.15701695,,1.0,2.560198165489329,0,0,0,1,0,0,0,-0.5322580645161289,0.0,1.361296992213281,0.6143694464926204,-1.5297450424929178,0.0,-1.7413180202351657,0.0,-0.9523809523809524
0.808,0.387,0.9,1.8050774630673287,0,0,0,0,1,0,0,5.352316129032258,-73.05034500000001,0.566304315699723,0.3759201169751427,-0.6968838526912181,-0.42,-0.2592288761279737,0.0,1.1428571428571428
0.20711964,,1.0,0.4139760744112889,0,0,0,1,0,0,0,-0.0793548387096772,0.0,-0.2012708781234707,0.0,1.0396600566572238,0.0,0.5567404976756904,0.0,0.0
0.30154392,,1.0,0.4476250196515633,0,0,0,1,0,0,0,0.7741935483870966,0.0,-0.1254201979036598,-0.1299723808690653,1.0084985835694051,0.0,0.3117309269893355,0.0,1.3809523809523812
0.25872112,,1.0,1.6352454320479142,0,0,0,1,0,0,0,0.3870967741935483,0.0,0.4801961372491425,0.2829398752765036,-0.7705382436260623,0.0,-0.3806398687448728,0.0,0.4285714285714286
,,1.0,0.2772910725182543,0,0,0,1,0,0,0,0.0,0.0,-0.1841809817783926,-0.2264518789757176,0.8045325779036827,0.0,0.0634399781241454,0.0,-0.5714285714285715
